#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="CoalescentConstant.t:true_alignment" spec="beast.evolution.tree.coalescent.Coalescent">
#            <populationModel id="ConstantPopulation.t:true_alignment" spec="beast.evolution.tree.coalescent.ConstantPopulation">
#                <parameter id="popSize.t:true_alignment" name="popSize" spec="beast.core.parameter.RealParameter">0.3</parameter>
#            </populationModel>
#            <treeIntervals id="TreeIntervals.t:true_alignment" spec="beast.evolution.tree.coalescent.TreeIntervals">
#                <tree id="Tree.t:true_alignment" spec="beast.evolution.tree.Tree">
#                    <taxonset id="TaxonSet.true_alignment" spec="beast.evolution.alignment.TaxonSet">
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#        </distribution>
#        <prior id="PopSizePrior.t:true_alignment" name="distribution" x="@popSize.t:true_alignment">
#            <OneOnX id="OneOnX.100" name="distr"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@true_alignment" id="treeLikelihood.true_alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:true_alignment">
#            <siteModel id="SiteModel.s:true_alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:true_alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:true_alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:true_alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:true_alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:true_alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:true_alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	popSize	CoalescentConstant
0	-8335.937539551043	-8295.806198970711	-40.1313405803325	-8295.806198970711	3.5338720092411458	0.3	-41.335313384658434
1000	-8192.408574196132	-8181.879641371106	-10.528932825024985	-8181.879641371106	0.9834370171725894	1.6687474011011245	-10.016859539252359
2000	-8194.215329078723	-8183.317698007529	-10.897631071194054	-8183.317698007529	1.0107844378309725	3.0568212204773433	-9.780255512011413
3000	-8193.998046042405	-8183.24356765838	-10.75447838402474	-8183.24356765838	0.9828811227244654	2.5360240869964943	-9.823880849467857
4000	-8193.887004102684	-8182.586586756599	-11.300417346085672	-8182.586586756599	0.9596173512983311	3.898822586950515	-9.939742739313205
5000	-8191.920809546171	-8181.155234606314	-10.765574939857506	-8181.155234606314	1.0191983846605102	1.7881026236718367	-10.18441986896364
6000	-8197.293330501006	-8186.563389970885	-10.72994053012104	-8186.563389970885	1.022235300647184	1.6536707713501941	-10.226943003302267
7000	-8191.104961149804	-8180.57176112616	-10.533200023643673	-8180.57176112616	0.9724210918753146	2.291894845440824	-9.703821104796171
8000	-8192.445845148757	-8181.817356977771	-10.628488170986852	-8181.817356977771	1.0134940156229066	2.10903532931553	-9.882257517939896
9000	-8190.640260860709	-8180.122681052606	-10.517579808102678	-8180.122681052606	0.9588063945075634	2.635428664851104	-9.548533958182583
10000	-8190.71613066008	-8179.541168668301	-11.174961991778774	-8179.541168668301	0.9720507683733234	3.5418083443946684	-9.910324563313306
11000	-8193.212690631828	-8181.09485372061	-12.117836911218195	-8181.09485372061	0.9939075401794712	1.1337068805759387	-11.992344222062322
12000	-8196.802149624686	-8185.683656883531	-11.118492741154279	-8185.683656883531	0.9860122218033133	3.7650800539055527	-9.792723617470951
13000	-8192.092386169965	-8180.8017404765105	-11.29064569345432	-8180.8017404765105	0.9971707607898411	3.700683390114799	-9.982128190828064
14000	-8195.45196591226	-8182.1501872895615	-13.301778622698713	-8182.1501872895615	0.9843480889118075	6.880008350263094	-11.373158757053165
15000	-8195.585650584328	-8184.425951989975	-11.159698594352594	-8184.425951989975	1.0427364986769325	3.3964985497310756	-9.936953531692698
16000	-8193.759442166094	-8182.335630404018	-11.423811762075285	-8182.335630404018	1.0144688748865551	3.9177913783658895	-10.058283690942048
